px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
75.0214	25.2067	2.06929	0.185732	0.0894206	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	1.91813	L
75.0104	25.2025	2.0584	0.182429	0.0870445	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0409413	R
77.1155	24.9816	2.0736	-0.131208	-0.154861	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.70035	L
77.1164	24.9677	2.00092	-0.160024	-0.190005	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.582918	R
79.0902	24.9933	1.99025	-0.0226077	0.00749502	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.19464	L
79.0886	24.9945	1.9492	-0.0288449	-0.000598578	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.16415	R
80.8388	24.8754	1.82017	-0.0683634	-0.0244141	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.256641	L
80.8634	24.8804	1.77139	-0.07866	-0.0427371	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.17195	R
82.6132	24.644	1.81412	-0.154903	-0.0617096	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.0314848	L
82.5886	24.6327	1.74277	-0.178008	-0.0857099	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.239445	R
84.1838	24.5256	1.64906	-0.0924718	0.011637	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.356275	L
84.1893	24.5269	1.64661	-0.0921762	0.0108925	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.0316556	R
85.6672	23.8595	1.58732	-0.450652	-0.201531	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	1.4879	L
85.7163	23.8777	1.64706	-0.426309	-0.181422	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.695681	R
86.9765	23.4817	1.38071	-0.397593	-0.0693771	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	1.11516	L
87.0752	23.5122	1.43573	-0.34914	-0.041532	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.62657	R
88.7425	22.8099	1.82314	-0.412444	-0.0494407	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	1.84152	L
88.6756	22.7846	1.72479	-0.478314	-0.106484	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.01404	R
89.6081	22.263	1.17024	-0.564171	-0.112139	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	3.78668	L
89.6454	22.2745	1.19608	-0.543966	-0.0995982	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.455262	R
90.5286	21.6615	1.11909	-0.646905	-0.102948	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.0727009	L
90.6193	21.6875	1.22713	-0.550615	-0.0283281	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.94532	R
91.6994	21.1073	1.26732	-0.488704	0.0209469	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.114107	L
91.7578	21.1225	1.27254	-0.465751	0.0235677	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	1.89125	R
92.8596	20.912	1.1429	-0.18346	0.16049	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.707752	L
92.9179	20.9338	1.11734	-0.157641	0.165319	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.48104	R
93.5668	20.3006	0.778263	-0.537839	-0.121529	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	4.67234	L
93.6231	20.3226	0.892011	-0.488106	-0.0790411	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	0.890444	R
95.146	19.6784	1.63969	-0.361404	0.0497196	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	7.82422	L
94.9934	19.6326	1.40304	-0.568878	-0.0984698	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	4.98589	R
95.6268	19.6022	0.656231	-0.377299	0.0287871	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	6.76854	L
95.6456	19.5939	0.744783	-0.362912	0.0435102	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.424602	R
96.2786	19.1974	0.760785	-0.495029	-0.0481752	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0.347902	L
